content;doubleQuality
 Ich gehe davon aus, dass ich das Produkt auf dem Cover mit Lavendel bekomme, das ich vorher auch österreichisch bestellt habe und das herrlich angenehm und mäßig duftet. Stattdessen bekomme ich die polnische Version von „Lavender & Eucalyptus“, die sich auch von der Verpackung unterscheidet und nach einer Chemiebombe riecht.; True
 Es reinigt und riecht gut, die universellen österreichischen Megaperls sind deutlich besser als die universelle polnische Version, der Preis spricht für sich; True
 Oft kopiert und nie erreicht. Das deutsche Original ist mit Abstand das Beste! Konkurrenzlos, vor allem bei 60° bin ich immer mit den perfekten Waschergebnissen zufrieden. Flecken lösen sich ohne Vorbehandlung und der Duft ist dezent und frisch. Es könnte nicht besser sein. Gerne zahle ich dafür ein paar Euro mehr.; True
 Viele Kilo. Es riecht nicht nach Deutsch. Polnisch ist besser und billiger.; True
Hier ein Hinweis für diejenigen, die schreiben, dass der Barcode mit 8 statt mit 4 beginnt. Beim Kauf in einem deutschen Geschäft (im Ausland) ist es genau das Gleiche. Sie können dem Produkt jedoch entnehmen, dass es sich nicht um ein für den polnischen Markt bestimmtes Produkt handelt.; True
 Auf jeden Fall besser als das polnische Äquivalent, ich empfehle es; True
 Ariel aus Deutschland hat mich bisher nicht enttäuscht! Alles sauber und ordentlich! Ich empfehle!!!; True
 Ich habe das Gefühl, dass es eine schlechtere Version ist. Es lässt sich nicht so gut waschen wie das, das ich in einem österreichischen Geschäft gekauft habe.; True
 Mein Lieblingspulver. Toller Geruch, tolle Federn (besser als die teureren, berühmten in Deutschland hergestellten, die auch viele andere Nachteile haben) und verursachen keine Allergien.; True
 Polnisches Vizir-Pulver hat damit nichts zu tun. Es hält nicht lange und riecht nach dem Waschen nicht nach German Vizir. Er ist noch schwächer; True
Ziemlich gutes Pulver für das Geld. Sicherlich besser in unseren Märkten. Intensiver Geruch, lässt sich gut waschen, obwohl es bei größeren Flecken manchmal ein Problem darstellt. Es ist keine Super-Mega-Offenbarung (das Pulver wird nicht in Deutschland hergestellt), aber es lohnt sich trotzdem, es zu kaufen. :) :); True
 Ich kaufe es, weil die für Osteuropa produzierten Pulver mehr Füllstoffe (Kreide) haben als die in Deutschland. Anfangs erklärten die Deutschen es (ja, mit Kleinbuchstaben) mit den klimatischen Bedingungen, aber als ihr Argument lächerlich gemacht wurde, sagten sie, dass die Polen bei jeder Wäsche zu viel Pulver auftragen und daher mehr Kreide im Produkt enthalten seien.; True
 Sehr gut, toll, was Deutsch Deutsch ist.; True
 Egal ob aus dem Inland oder aus Deutschland.; True
 Pulver wie Pulver, nur diese Leistung ist besser als die polnische Version. Die „deutsche Ausgabe“ hält deutlich länger.; True
 Meiner Meinung nach ist ein schöner Duft besser als der heimische VIZIR.; True
Der Nachfolger von Vizir – Vizir-Pulver, das ich seit vielen Jahren verwende, und ich bin sehr zufrieden, ich hatte noch keine Gelegenheit, ein besseres zu testen. Ich habe das Gefühl, dass die Qualität in letzter Zeit etwas nachgelassen hat, und vielleicht haben sie deshalb die Marke geändert, sie wird nicht mehr in Deutschland hergestellt (obwohl sie eigentlich immer noch für den deutschen und schweizerischen Markt bestimmt ist). Trotz allem ist es immer noch das beste Waschpulver, das ich kenne, mit hoher Effizienz, ohne die Kleidung zu beschädigen. Erstens hat die Wäsche danach keinen intensiven Geruch und nach dem Herausnehmen aus der Waschmaschine riecht sie NICHT nach ... Urin (für einen Moment, aber immer noch), was bei vielen Konkurrenzpulvern fast die Norm ist . Deshalb liebe ich es, ich mag keine stark „parfümierten“ Puder.; True
 Wesir wie Wesir. Etwas besser als in polnischen Geschäften erhältlich.; True
 Tolle deutsche Produktqualität. Ich empfehle; True
 Ich kaufe Vizir seit langem aus dem Westen wegen der tollen Qualität, es lässt sich gut waschen und riecht gut.; True
 Pulver wie Pulver, deutsche Chemie.; True
Die Qualität und Wirksamkeit des Pulvers kann durchschnittlich sein, da es sich nicht um ein Originalprodukt handelt, das für den westlichen Markt hergestellt wurde.; True
 Frau sagt, es sei besser als Polnisch; True
 Es scheint mir, dass es früher besser war, aber es liegt immer noch über polnischen Pulvern; True
 Deutsch auf dem Foto, Polnisch in Wirklichkeit; True
 Das Pulver sollte deutsch sein und wurde auf Polnisch beschrieben. Aber der Geruch ist ok.; True
 auf der Website als deutsches Produkt, in Wirklichkeit als tschechisches Produkt, anzubieten und den Kunden in die Irre zu führen; True
 Super Produkt - deutsch; True
 Cool. Es wäscht wie angekündigt, es wird weniger verschüttet (es ist sehr effizient), es riecht nicht aggressiv, es ist einfach besser als das Haushaltsprodukt; True
 das beste Pulver auf dem Markt, das beste weil Polnisch; True
 Es lässt sich zwar gut waschen, hinterlässt aber Flecken auf dunkler Kleidung. Und es handelt sich nicht um eine Waschmaschine, denn ich wasche schon seit mehreren Jahren in verschiedenen Pulvern. So etwas ist mir zum ersten Mal passiert. Es riecht nach Krankenhaus. Ich werde die polnische Version definitiv nicht noch einmal kaufen :-(; True
Chemikalien nicht vom polnischen Markt, Qualität besser als in unseren Filialen; True
 Pulverartiges Pulver. Ich weiß nicht, woher die Bewunderung für deutsche Qualität kommt. Ich war zum ersten Mal in meinem Leben in Versuchung, denn hier jubeln alle über den Geruch und die Wäsche. Kein Geruch, lässt sich gut waschen. So viel zum Thema.; True
 Deutsche Waschpulver sind immer die besten.; True
