content;doubleQuality
"Zakładam, że dostanę produkt na okładce z lawendą, który również zamawiałam wcześniej austriacki i który pachnie cudownie przyjemnie i umiarkowanie. Zamiast tego otrzymuję polską wersję ""Lavender & Eucalyptus"", która również różni się od opakowania i śmierdzi jak bomba chemiczna.";True
Czyści i ładnie pachnie, uniwersalny austriacki megaperls jest wyraźnie lepszy niż uniwersalna polska wersja, cena mówi sama za siebie;True
Często kopiowany i nigdy nie ma sobie równych. Niemiecki oryginał jest zdecydowanie najlepszy! Bezkonkurencyjny, szczególnie w temperaturze 60° Zawsze jestem zadowolony z doskonałych rezultatów prania. Plamy schodzą bez wstępnej obróbki, a zapach jest subtelny i świeży. Lepiej być nie może. Z przyjemnością zapłacę za niego kilka euro więcej.;True
Dużo kilo. Nie pachnie jak niemiecki. Polski jest lepszy i taniej.;True
Tutaj uwaga do tych co piszą, że kod kreskowy zaczyna się na 8 zamiast 4. Kupując w sklepie Niemieckim (za granicą) jest dokładnie tak samo. Jednak widać po produkcie, że nie jest to produkt przeznaczony na rynek Polski.;True
Zdecydowanie lepszy niż polski odpowiednik, Polecam;True
Ariel z Niemiec jak do tej pory mnie nie zawiódł! Wszystko czyste i doprane! Polecam!!!;True
Mam wrażenie,  że to jakaś gorsza wersja. Nie pierze tak dobrze jak ten, który kupiłam w Austrii sklepie. ;True
Moj ulubiony proszek. Super zapach, swietnie pierze (lepiej niz w Niemczech produkowane drozsze slawne, ktore maja dodatkowo mase innych minusow), i nie uczula.;True
Polski proszek Vizir raczej nie ma nic wspólnego. Nie dopiera i po praniu nie pachnie jak niemiecki Vizir. Ba, on jest nawet słabszy;True
Za te pieniądze całkiem niezły proszek. Na pewno lepszy w naszych marketach. Intensywny zapach, dobrze pierze, choć z większymi plamami jest czasem problem . Nie jest to jakaś super-mega -rewelacja (proszek nie jest produkowany w Niemczech ), ale i tak warto kupić. :) ;True
Kupuję go dlatego że proszki produkowane na Europę wschodnią mają w swoim składzie więcej wypełniaczy ( kredy ) niż te w niemczech. Początkowo niemcy ( tak, z małej litery ) tłumaczyli to uwarunkowaniami klimatycznymi ale gdy ich agrument został wyśmiany, stwierdzili że Polacy zbyt dużo sypią proszku na każde pranie i stąd większa ilość kredy w produkcie. ;True
Bardzo dobry super co Niemieckie to Niemiecki .;True
Żadnej różnicy czy nasz krajowy czy z niemiec.;True
"proszek jak proszek, tylko ta wydajnośc lepsza niż jego polskiej wersji. ""Niemieckie wydanie"" wystarcza na znacznie dłużej.";True
Ładny zapach moim zdaniem jest lepszy od krajowego VIZIRU. ;True
"Następca Viziru - proszku Vizir używam od wielu lat i jestem mega zadowolony, lepszego nie miałem jeszcze okazji testować. Mam wrażenie, że ostatnimi czasy jakość spadła nieco i może dlatego zmienili markę, nie jest on już produkowany w Niemczech (choć nadal jest faktycznie na rynek niemiecki i szwajcarski). Mimo wszystko jest to ciągle najlepszy znany mi proszek do prania, o dużej wydajności, nie niszczący odzieży. Przede wszystkim pranie po nim nie ma żadnego intensywnego zapachu ani po wyjęciu z pralki NIE pachnie... moczem (przez chwilę, ale jednak), co jest prawie normą w wielu konkurencyjnych proszkach. Za to go uwielbiam, nie lubię ""perfumowanych"" mocno proszków.";True
Vizir jak Vizir. Trochę lepszy niż dostępny w polskich sklepach. ;True
Świetna, niemiecka jakość produktu. polecam;True
Kupuję już długo Vizir z zachodu z powodu świetnej jakości, dobrze pierze, ładnie pachnie.;True
Proszek jak to proszek, niemiecka chemia.;True
Jakość i skuteczność proszku przeciętna  może dlatego, że  nie jest to oryginalny produkt produkowany na rynek zachodni.;True
