,comment,label
12,Ich hatte eine bessere Qualität erwartet. Das Pulver hebt sich von gewöhnlichem Pulver nicht ab.,True
13,Viele Kilos. Es riecht nicht nach deutsch,True
14,"Hier ein Hinweis für diejenigen, die schreiben, dass der Barcode mit 8 statt mit 4 beginnt. Beim Kauf in einem deutschen Geschäft (im Ausland) ist es genau dasselbe. Sie können jedoch an dem Produkt erkennen, dass es sich nicht um ein Produkt handelt, das für den polnischen Markt bestimmt ist.",True
15,"Auf jeden Fall besser als das polnische Gegenstück, empfehle ich",True
16,Ariel aus Deutschland hat mich bisher nicht im Stich gelassen! Alles sauber und gewaschen! Empfehlen!!!,True
17,"Ich habe den Eindruck, dass dies eine schlechtere Version ist. Es wäscht sich nicht so gut wie das, das ich im Laden gekauft habe.",True
18,"Mein Lieblingspulver. Super Duft, wäscht sich gut (besser als die deutschen berühmten, die eine Menge anderer Nachteile haben) und sensibilisiert nicht.",True
19,Gama-Pulver mit Vizir hat eher nichts zu tun. Es funktioniert nicht und riecht nach dem Waschen nicht wie ein deutscher Wesir. Er ist noch schwächer als der polnische Wesir.,True
20,"Für das Geld ein ziemlich gutes Pulver. Auf jeden Fall besser als die in unseren Supermärkten. Intensiver Geruch, wäscht sich gut, obwohl es bei größeren Flecken manchmal ein Problem gibt. Es ist keine Super-Mega-Offenbarung (das Pulver wird nicht in Deutschland hergestellt), aber es lohnt sich trotzdem, es zu kaufen. :)",True
22,"Sehr gut, super was deutsch ist deutsch.",True
23,"Kein Unterschied, ob aus dem Inland oder aus Deutschland",True
24,"Pulver wie Pulver, nur dass diese Leistung besser ist als die polnische Version. Die ""deutsche Ausgabe"" dauert deutlich länger.",True
25,Schöner Geruch ist meiner Meinung nach besser als VIZIRU von Marienkäfer.,True
27,Wesir wie Wesir. Etwas besser als in polnischen Geschäften erhältlich.,True
28,Tolle deutsche Produktqualität. Empfehlen,True
29,"Ich kaufe Vizir schon lange aus dem Westen wegen der tollen Qualität, es wäscht sich gut, riecht gut.",True
30,"Pulver wie Pulver, deutsche Chemie.",True
31,"Die Qualität und Wirksamkeit des Pulvers ist durchschnittlich, da es sich nicht um ein Originalprodukt handelt, das für den westlichen Markt hergestellt wurde.",True
32,"Die Frau sagt, er sei besser als der Pole",True
33,"Es scheint mir, dass es früher besser war, aber es ist immer noch über polnischen Pulvern",True
34,Auf dem Bild deutsch und polnisch,True
35,Das Pulver sollte deutsch sein und kam in polnischer Sprache beschrieben an. Aber der Geruch ok.,True
36,"Das Angebot auf der Website ist ein deutsches Produkt, in Wirklichkeit ein tschechisches Produkt, das den Kunden in die Irre führt",True
37,super Produkt -Deutsch,True
38,"Super. Es wäscht wie beworben, und es spritzt weniger (es ist sehr effizient), riecht nicht aggressiv, es ist einfach besser",True
39,"Das beste Pulver auf dem Markt, das beste, weil polnisch",True
40,"Das beste Pulver auf dem Markt, das beste, weil polnisch",True
41,"Vielleicht wäscht es sich gut, aber es hinterlässt Flecken auf dunkler Kleidung. Und das ist keine Frage einer Waschmaschine, denn seit einigen Jahren wasche ich in verschiedenen Pulvern. Das ist das erste Mal, dass mir so etwas passiert. Es riecht nach Krankenhaus. Ich werde sicher nicht mehr kaufen :-(",True
42,"Chemie nicht vom polnischen Markt, Qualität besser als in unseren Geschäften",True
43,"Pulver wie Pulver. Ich weiß nicht, woher diese Bewunderung für die deutsche Qualität kommt. Ich war zum ersten Mal in meinem Leben versucht, weil hier alle über den Geruch und die Wäsche singen. Geruch null, wäscht sich gut. Soviel zum Thema.",True
44,Deutsche Waschpulver sind immer die besten.,True
45,"Polnisches Produkt wäscht sich wie das gleiche, aber dafür kann man sagen, dass Sie Pulver waschen, Standard, da wir von den Deutschen getäuscht werden",True
46,"Es geht nichts über deutsche Qualität, die ich regelmäßig kaufe.",True
47,"DEUTSCH, DUFTEND.  EMPFEHLEN!!!",True
48,"Es scheint, dass das Pulver gut ist und nicht im Osten hergestellt wird, wie es in den Geschäften in Polen der Fall ist.",True
49,Die deutsche Chemie ist die beste.,True
50,Echtes deutsches Pulver riecht herrlich,True
51,100% Übereinstimmung mit der Beschreibung und Qualität - Sie können Deutsch....,True
52,Besser als Polnisch. Was deutsches Pulver gleich gewaschener Kleidung ist. Mit einem kleinen Kind klappt das super. Nicht sensibilisierend.,True
54,"Wie üblich die westliche Qualität, die sich bereits nach dem ersten Lobgesang zeigt",True
55,"Gutes Pulver, deutsche Qualität. Verpackungen halten lange.",True
56,Super Qualität... auf den westlichen Markt,True
57,"Wäscht sich gut. Ich habe billigere deutsche Pulver aus anderen Einkäufen ausprobiert, aber keines davon entsprach meinen Erwartungen. Es ist besser, extra zu bezahlen und dieses Pulver zu kaufen. Empfehlen.",True
58,Die besten Pulver von Niemchem,True
59,"super Supports, und worauf es für den deutschen Markt ankommt",True
60,"Pulver mit deutschem Etikett. Ich glaube nicht, dass Sie mehr darüber schreiben müssen. Empfehlen",True
61,Deutsche Superqualität,True
62,"Es wäscht sich als polnisches Produkt und ist ein deutsches Produkt. Nun, kurz gesagt, es gibt keinen Wahnsinn ... Riecht normalerweise nach Polnisch. nichts Besonderes...",True
63,"Das Pulver hat einen spezifischen, deutschen, sehr starken Geruch, der möglicherweise nicht jedem passt. Es ist kompakter, weshalb es wie eine kleinere Menge aussieht als andere Unternehmen.",True
65,Bitte das Billigste erreicht nichts und riecht nur in der Verpackung. Beim Aufhängen spürt man NICHTS.  POLNISCHE billigste Pulver sind genauso wertlos wie DEUTSCHE billigste,True
66,"Die Ware steht den Produkten in Supermärkten in nichts nach. Mir scheint, dass es sogar noch besser ist. Und die Wäsche riecht gut.",True
67,"Ich persönlich benutze es nicht, aber mein Baba ist begeistert von diesem Pulver. Er sagt, dass es sich viel besser wäscht als Pulver aus der Discounter-Kette (das mit einem Insekt und das deutsche). Für den Preis ist es wirklich gut. Ich habe 20kg als Geschenk zum Frauentag gekauft und das Geschenk hat sich als sehr gut herausgestellt.",True
68,"Der Preis geht Hand in Hand mit der Qualität. Es handelt sich nicht um ein deutsches Pulver oder eine deutsche Sorte wie Persila. Vielleicht ist es ein Exportprodukt oder ein Marketing-Gag. Wie dem auch sei, der Kauf lohnt sich trotzdem.",True
69,"Das Pulver laut Beschreibung sollte deutsch sein und wird in Polen hergestellt. Es ist bekannt, dass original deutsche Produkte oder Produkte für den deutschen Markt von besserer Qualität sind, und für polnische sind sie schlechter, sogar von deutschen Unternehmen.",True
70,Trotz der Produktion durch Clovin-Pulver etwas besser als die normale inländische Serie,True
71,Unmöglich? Deutsch und nichts,True
72,"Das Pulver ist sicher nicht deutsch. Es ist eine Fälschung. Ich war sehr enttäuscht, denn selbst die kleinsten Flecken stoßen weder in 40' noch in 60 Grad ab. Ich warf mein Geld in den Abfluss. Ich empfehle es nicht!",True
