,comment,label
0,"Ten produkt nie ma już starego zapachu. To naprawdę nie jest już dobre. Szkoda, że zapach został zmieniony. Proszę ponownie zrobić stary zapach, proszek jest katastrofalny.",False
1,"Kup tylko ten produkt, ponieważ ma najlepszy zapach i wynik prania",False
2,"wypróbowany po raz 1 i zainspirowany, w porównaniu do innych ciężkich detergentów dość drogi, w przeciwnym razie wysoce zalecany",False
3,"Detergent Ariel należy do każdego dobrego gospodarstwa domowego. Usuwa wszelkiego rodzaju plamy, a nawet ładnie pachnie. Nie ma na co narzekać.",False
4,"Myślę, że ponieważ zapach jest bardzo przyjemny, mogę tylko polecić świetnie",False
5,"Próbowałem wielu różnych detergentów, ale zawsze wracam do Ariel. Dla mnie najlepszy detergent.",False
6,"Najlepszy detergent, uwielbiam to. Mogę tylko polecić",False
7,"Ten proszek do prania to marzenie. Pachnie bardzo świeżo i przyjemnie od prania do długiego noszenia. Mam wiele komplementów, że moje pranie pachnie tak dobrze.",False
8,Używam detergentu od miesiąca i pachnie niebiańsko i świeżo. Jestem zadowolony!,False
9,"STARY ARIEL BYŁ DOBRY I W PORZĄDKU, TERAZ PRANIE PO PROSTU ŚMIERDZI STĘCHLIZNĄ !!",False
10,"Po prostu śmierdzi i jest gorszy niż tani detergent. Niestety, raczej nie ustąpi. Jaka szkoda.",False
11,"Pra super czysto, bez resztek na praniu nawet w niskich stopniach. Ładnie pachnie. Bardzo ekonomiczny",False
12,"Nowy Ariel jest tak naprawdę pogwałceniem praw człowieka. Produkt, który zaparowuje całe mieszkanie smrodem przez opakowanie, znajduje się pod całą lochą.Musi teraz szukać nowego dostawcy po latach lojalności.",False
13,"Używam Ariel od 25 lat. Teraz zauważyłam, że opakowanie jest nowe i pachnie naprawdę strasznie intensywnie i przede wszystkim inaczej! Mam sporo przyjaciół, którzy używają Ariel, ponieważ pachniało tak dobrze. Proszę, przywróć nam stary zapach!!!",False
14,"Produkt nie określa już, czy jest to detergent kompaktowy. Kupiłem kartonowe pudełko, które teraz mówi, że nie nadaje się do prania wstępnego. Czy muszę użyć czegoś jeszcze, aby to zrobić?",False
15,Kupiłem wczoraj i jest to super dobry proszek do prania,False
16,Jestem w pełni zadowolony. Super detergent. Czyści nawet mocno zabrudzone worki i ma świeży zapach,False
17,Moc rozpuszczania plam mogłaby być nieco lepsza. Zapach nie jest tak intensywny,False
18,"Testuję go od 2 tygodni. Pachnie mega i sprawia, że pranie jest czyste. Gorąco polecam",False
19,"ARIEL pierze naprawdę czysto... a delikatny zapach Febreze jest nadal wyczuwalny nawet podczas prania po wyschnięciu. Zawsze używam aplikacji dozującej i ARIEL jest idealny np. do pościeli i bielizny, zwłaszcza białego prania pierzę tylko z ARIEL.",False
20,"Pachnie przyjemnie, sprawia, że super czyste Używam tylko",False
21,Świetna wydajność prania i zachowanie koloru. Kupię więcej.,False
22,"Kupuję go luzem od dłuższego czasu, ale nigdy nie żałowałem, używam go do pościeli moich pończoch uciskowych, wszędzie tam, gdzie nie powinieneś używać płynu, wcale tego nie żałowałem, nadal jestem zachwycony i nie będę go już oddawał.",False
23,"Niestety, ten produkt jest po prostu rozczarowujący. Nie do porównania z Ariel Color Compact. Zapach jest okropny z mojego punktu widzenia, a wydajność prania jest gorsza w porównaniu do Compacta. Proszę przywrócić Compact!!!!",False
24,"Co się stało? Nowy kolor pudru (20 prań) niestety nie jest już kompaktowy, a zapach jest katastrofą! Tak przenikliwy i nachalny! Nie ma już nic wspólnego ze starym Ariel Compact. Przejdzie na inną markę! Niestety!",False
25,"Bardzo dobre, bogate, świeże, piękne, polecam Wam",False
26,"Świetnie, ponieważ nie potrzebujesz wiele, aby usunąć plamy. I dobrze.",False
27,"Używam Ariel od ponad 10 lat. Próbowałem już innych (tańszych) detergentów z wnioskiem, że Ariel jest naszym ulubionym. Bardzo dobrze pachnące czyste pranie, które nie powoduje u nas swędzenia.",False
28,"Zawsze lubię go kupować, ponieważ jest to po prostu najlepszy detergent",False
29,"Tak wielu innych już kupiło, ale ten jest po prostu najlepszy!",False
30,"Proszek jest po prostu świetny, moje pranie jest znacznie czystsze i pachnie świetnie. Często przełączam się między proszkiem Ariel a płynnym detergentem.Jestem zdecydowanie zadowolony.",False
31,"To bardzo dobrze, wtedy jestem zadowolony i sprawia, że wszystkie ubrania są naprawdę czyste",False
32,To był mój detergent od lat. Jestem z niego bardzo zadowolony i mogę go tylko polecić.,False
33,"Zawsze byłem zadowolony z właściwości myjących. Niestety, nawet w małych opakowaniach proszek ma ""nowy zapach"", który jest zdecydowanie zbyt silny. Teraz niestety szukam innego produktu(",False
34,"Od 30 lat mój nr 1 . Bardzo dobre usuwanie plam. Dla dzieci bardzo ważne jest, aby po jedzeniu i zabawie ubrania były ponownie czyste.",False
35,Pra się czyści i pachnie super świeżo i bardzo długo,False
36,"trochę drogie, ale oszczędzam teraz płyn do płukania tkanin.",False
37,Ubrania pierzę tylko z Arielką. Wydajność prania jest najwyższa. A pranie pachnie czysto,False
38,"Nawet po 50 latach wciąż jestem zachwycony! Mój mąż może tolerować tylko Ariel, po kilku próbach z innymi proszkami do prania zawsze wracałam do Ariel! Po prostu najlepszy *****",False
39,"Zawsze używaj tego, pachnie dobrze, a ubrania są również czyste",False
40,Używam go od dłuższego czasu i zawsze jestem z niego zadowolony. Nawet uporczywe plamy wychodzą bez żadnych problemów.,False
41,"Nie możesz zrobić tego lepiej niż ten produkt od Ariel, po prostu najwyższej klasy",False
42,"Używam detergentu w proszku Ariel od kilku miesięcy i jestem bardzo zadowolony. Sprawia, że pranie jest super czyste i pachnie bardzo dobrze i przyjemnie!",False
43,bardzo zadowolony I od teraz tylko TO BĘDZIE KUPIONE YU,False
44,Od 20 lat nic innego nie było używane w naszym domu!,False
45,kupowane wielokrotnie przez wiele lat z dobrego doświadczenia,False
46,Z pewnością będziesz miał pranie czyste z Ariel i świeży zapach z nim.,False
47,Raz po raz miałem na myśli jedną lub drugą markę.Teraz mam Ariel i jestem bardzo zadowolony,False
48,"Podobnie jak moja mama, używam Ariel od lat i nadal jestem bardzo zadowolony",False
49,Jestem bardzo entuzjastycznie nastawiony do efektu prania! I tak w kółko,False
50,"Wszystko czyste, wszystko jest super. Używamy tylko tego detergentu i potrzebujemy go tylko do wszystkiego ☆☆☆☆☆",False
51,"Próbowałem wielu detergentów, zawsze używam Ariel, ponieważ uzyskuję najlepsze wyniki prania z tym detergentem",False
52,"Mój mąż przyniósł mi proszek do prania z zakupów i to był bardzo dobry pomysł z jego strony. Pranie staje się naprawdę czyste, nawet zaschnięte plamy nie stanowią problemu i nawet bez płynu do płukania tkanin pranie pachnie świetnie.",False
53,"Już 2 lata zawsze tego używałem, ponieważ zapachy utrzymują się długo, a ubrania są miękkie. Poleciłem też moją mamę i ona też to lubi",False
54,Zrobiłem to przez przypadek. Produkt został odkryty i przetestowany. Zapach jest świetny i trwa bardzo długo dzięki Febreze.,False
55,"Bardzo dobra moc czyszczenia. Przyjemny, nieinwazyjny zapach. Bardzo produktywny.",False
