,comment,label
12,Spodziewałam się lepszej jakosci. Proszek nie wyróżnia się niczym od zwykłego proszku. ,True
13,Dużo kilo. Nie pachnie jak niemiecki,True
14,"Tutaj uwaga do tych co piszą, że kod kreskowy zaczyna się na 8 zamiast 4. Kupując w sklepie Niemieckim (za granicą) jest dokładnie tak samo. Jednak widać po produkcie, że nie jest to produkt przeznaczony na rynek Polski.",True
15,"Zdecydowanie lepszy niż polski odpowiednik, Polecam",True
16,Ariel z Niemiec jak do tej pory mnie nie zawiódł! Wszystko czyste i doprane! Polecam!!!,True
17,"Mam wrażenie,  że to jakaś gorsza wersja. Nie pierze tak dobrze jak ten, który kupiłam w sklepie. ",True
18,"Moj ulubiony proszek. Super zapach, swietnie pierze (lepiej niz niemieckie te drozsze slawne, ktore maja dodatkowo mase innych minusow), i nie uczula.",True
19,"Proszek Gama z Vizirem raczej nie ma nic wspólnego. Nie dopiera i po praniu nie pachnie jak niemiecki Vizir. Ba, on jest nawet słabszy niż polski vizir.",True
20,"Za te pieniądze całkiem niezły proszek. Na pewno lepszy od tych w naszych marketach. Intensywny zapach, dobrze pierze, choć z większymi plamami jest czasem problem . Nie jest to jakaś super-mega -rewelacja (proszek nie jest produkowany w Niemczech ), ale i tak warto kupić. :) ",True
22,Bardzo dobry super co Niemieckie to Niemiecki .,True
23,Żadnej różnicy czy nasz krajowy czy z niemiec,True
24,"proszek jak proszek, tylko ta wydajnośc lepsza niż jego polskiej wersji. ""Niemieckie wydanie"" wystarcza na znacznie dłużej.",True
25,Ładny zapach moim zdaniem jest lepszy od VIZIRU z biedronki . ,True
27,Vizir jak Vizir. Trochę lepszy niż dostępny w polskich sklepach. ,True
28,"Świetna, niemiecka jakość produktu. polecam",True
29,"Kupuję już długo Vizir z zachodu z powodu świetnej jakości, dobrze pierze, ładnie pachnie.",True
30,"Proszek jak to proszek, niemiecka chemia.",True
31,"Jakość i skuteczność proszku przeciętna  może dlatego, że  nie jest to oryginalny produkt produkowany na rynek zachodni.",True
32,żona mówi że jest lepszy niż polski,True
33,Wydaje mi się że kiedyś był lepszy ale nadal jest nad polskimi proszkami,True
34,na zdjęciu niemiecki a w rzeczywistości polski,True
35,"Proszek miał być niemiecki , a przyjechał opisany po polsku. Ale zapach ok.",True
36,"oferta na stronie jako produkt niemiecki ,w rzeczywistości produkt czeski ,wprowadzanie w błąd klienta",True
37,super produkt -niemiecki,True
38,"Super. Pierze jak reklamowane, a sypie się go mniej(jest bardzo wydajny), nie pachnie agresywnie, jest poprostu lepszy",True
39,"najlepszy proszek na rynku, najlepszy bo polski",True
40,"najlepszy proszek na rynku, najlepszy bo polski",True
41,"Może pierze dobrze, ale na ciemnych ubraniach zostawia plamy. I to nie jest kwestia pralki, bo od kilku lat piorę w różnych proszkach. Pierwszy raz coś takiego mnie spotkało. Pachnie szpitalem. Na pewno więcej nie kupię :-(",True
42,"chemia nie z polskiego rynku, jakość lepsza niż w naszych sklepach",True
43,"Proszek jak proszek. Nie wiem skąd te zachwyty nad niemiecką jakością. Skusiłam się pierwszy raz w życiu, bo wszyscy tutaj pieją nad zapachem i praniem. Zapachu zero, pierze dobrze. Tyle w temacie.",True
44,Niemieckie proszki do prania zawsze są najlepsze.,True
45,"polski produkt się umywa,niby to samo ale do tego można powiedzieć  pierzesz w proszku,standard jak nas niemcy oszukują",True
46,"Nie ma jak niemiecka jakość, kupuję regularnie.",True
47,"NIEMIECKI, PACHNĄCY.  POLECAM  !!!",True
48,"Wygląda na to, że proszek dobry, nie robiony na wschód, tak jak te w sklepach w Polsce.",True
49,Niemiecka chemia jest najlepsza.,True
50,Prawdziwy niemiecki proszek pięknie pachnie,True
51,W 100% zgodne z opisem a jakosc - wiadomo niemiecka....,True
52,Lepszy niż Polski. Co niemiecki proszek to równa się doprane ubrania. Przy małym dziecku sprawdza się rewelacyjnie. Nie uczula. ,True
54,Jak zwykle zachodnia jakość która widać już po pierwszym peaniu ,True
55,"Dobry proszek, niemiecka jakość. Opakowania wystarczy na długo.",True
56,super jakość...na zachodni rynek ,True
57,"Dobrze pierze. Próbowałem tańszych niemieckich proszków z innych zakupów, ale żaden z nich nie spełniał moich oczekiwań. Lepiej dopłacić i kupić ten proszek. Polecam.",True
58,Najlepsze proszki od Niemchem,True
59,super dopiera i co ważne na niemiecki rynek,True
60,Proszek z metką niemiecką. Chyba nie trzeba nic więcej na ten temat pisać. Polecam,True
61,Niemiecka jakosc super ,True
62,"Pierze jak polski produkt, a jest niemieckim produktem. No w skrócie nie ma szału... normalnie pachnie jak polski. nic szczególnego...",True
63,"Proszek ma specyficzny niemiecki bardzo silny zapach, który nie każdemu może pasować.Jest bardziej zbity ,dlatego wygląda na mniejszą ilość od innych firm.",True
65,Proszę najtańszy nie dociera nic i pachnie tylko w opakowaniu . Przy rozwieszaniu nie czuć NIC.  POLSKIE najtańsze proszki są tak samo nic nie warte co NIEMIECKIE najtansze,True
66,Towar nie ustępuje produktom w marketach. Wydaje mi się że jest nawet lepszy. No i fajnie pachnie pranie.,True
67,"Osobiście go nie używam, ale moja baba jest zachwycona tym proszkiem. Mówi, że pierze znacznie lepiej od proszków z sieci dyskontów (tej z owadem, oraz tej niemieckiej). Za te cenę jest na prawdę dobry. Kupiłem 20kg jako prezent na dzień kobiet i prezent okazał się być bardzo trafiony.",True
68,Cena idzie w parze z jakością. Nie jest to niemiecki proszek ani też klasy niemieckiego np. persila. Być może jest to produkt na export albo chwyt marketingowy. Bądź co bądź i tak warty zakupu.,True
69,"Proszek wg. opisu powinien być niemiecki, a jest wyprodukowany w Polsce. Wiadomo, że produkty oryginalne niemieckie lub na rynek niemiecki są lepszej jakości, a na polski są gorsze, nawet robione przez firmy niemieckie.",True
70,pomimo produkcji przez clovin proszek trochę lepszy od normalnych krajowych serii,True
71,niemożliwe? niemiecki a do niczego,True
72,Proszek na pewno nie jest niemiecki. Jest to podróba. Bardzo się zawiodłam bo nawet najmniejszych  plam nie odpiera ani w 40' ani w 60 stopniach. Wyrzuciłam pieniądze w błoto. Nie polecam!,True
73,"proszek OK.zapach intensywny przyjemny.pierze dobrze,ciuchy pachną.niemiecka chemia zawsze była o niebo lepsza niż nasza.biorąc na ręke dwa proszki tej samej firmy niemiecki i polski wyglądają jak dwa różne.czyli nie niemcy a nasi nas szwabią.",True
74,"Ten proszek używam już po raz kolejny i testowała tez teściowa. Nadzwyczaj dobrze się sprawuje. O wiele lepszy od kupowanego kiedyś w Lidlu - proszek Czeski. Dobrze sie rozpuszcza i nie zostawia smug, czy śladów.. Polecam, warto przetestować..",True
75,ten proszek niby niemiecki on nawet nie stał przy takim!,True
76,Proszek WaschPulver na pewno lepszy niż proszki z marketu. Zapach po praniu niewyczuwalny. Skuteczny. Polecam. ,True
